simple_spread_edge,simple_spread_edge_abs,simple_spread,enhanced_spread_edge,enhanced_spread_edge_abs,enhanced_spread,avg_spread_edge,avg_spread_edge_abs,spread_agreement,spread_model_diff,vegas_spread,vegas_spread_abs,big_favorite,close_game,recent_spread_acc,home_games,away_games,combined_games,home_rest,away_rest,rest_diff,home_b2b,away_b2b,season_progress,early_season,mid_season,late_season,neutral_site,conference_game,actual_spread,spread_with_model_wins,spread_fade_model_wins,season
-2.261891047879147,2.261891047879147,-5.761891047879147,-0.88664056331781,0.88664056331781,-4.38664056331781,-1.574265805598479,1.574265805598479,1,1.3752504845613371,-3.5,3.5,0,1,0.6,0.3,0.35,0.325,1,1,0,0,0,0.2476,1,0,0,0,0,-9,1,0,2024
-5.609031563747587,5.609031563747587,-9.109031563747587,-8.627246535013274,8.627246535013274,-12.127246535013274,-7.1181390493804315,7.1181390493804315,1,3.018214971265687,-3.5,3.5,0,1,0.6097560975609756,0.3,0.3,0.3,5,1,4,0,0,0.2478,1,0,0,0,0,3,0,1,2024
-0.9602966895857961,0.9602966895857961,0.5397033104142039,-1.7210456092355653,1.7210456092355653,-0.22104560923556527,-1.3406711494106807,1.3406711494106807,1,0.7607489196497692,1.5,1.5,0,1,0.5952380952380952,0.35,0.3,0.325,3,2,1,0,0,0.2482,1,0,0,0,0,2,0,0,2024
3.392765628539241,3.392765628539241,-19.10723437146076,2.2782503613357505,2.2782503613357505,-20.22174963866425,2.835507994937494,2.835507994937494,1,1.1145152672034904,-22.5,22.5,1,0,0.5813953488372093,0.3,0.35,0.325,5,1,4,0,0,0.2484,1,0,0,0,0,-27,0,1,2024
1.533934230358292,1.533934230358292,-1.966065769641708,0.2809787163049142,0.2809787163049142,-3.2190212836950858,0.9074564733316031,0.9074564733316031,1,1.2529555140533777,-3.5,3.5,0,1,0.5681818181818182,0.25,0.4,0.325,1,1,0,0,0,0.2486,1,0,0,0,0,-17,0,1,2024
-6.857588042710814,6.857588042710814,-9.357588042710814,-13.353316610019519,13.353316610019519,-15.853316610019519,-10.105452326365167,10.105452326365167,1,6.495728567308705,-2.5,2.5,0,1,0.5555555555555556,0.3,0.35,0.325,5,5,0,0,0,0.2488,1,0,0,0,0,-3,0,0,2024
2.1935316895898778,2.1935316895898778,4.693531689589878,-0.6469685907919756,0.6469685907919756,1.8530314092080244,0.7732815493989511,0.7732815493989511,0,2.8405002803818533,2.5,2.5,0,1,0.5434782608695652,0.3,0.35,0.325,1,0,1,0,1,0.249,1,0,0,0,0,3,0,0,2024
0.9004983162938647,0.9004983162938647,-6.599501683706135,-0.30336964377324094,0.30336964377324094,-7.803369643773241,0.29856433626031187,0.29856433626031187,0,1.2038679600671056,-7.5,7.5,0,0,0.5319148936170213,0.25,0.25,0.25,1,2,-1,0,0,0.2492,1,0,0,0,0,1,1,0,2024
-3.7200059198869724,3.7200059198869724,-10.220005919886972,-7.091451461420819,7.091451461420819,-13.591451461420819,-5.405728690653895,5.405728690653895,1,3.3714455415338467,-6.5,6.5,0,0,0.5416666666666666,0.25,0.35,0.3,2,2,0,0,0,0.2494,1,0,0,0,0,-39,1,0,2024
3.6576128249359714,3.6576128249359714,-1.8423871750640286,4.188737468012984,4.188737468012984,-1.3112625319870164,3.9231751464744775,3.9231751464744775,1,0.5311246430770122,-5.5,5.5,0,0,0.5510204081632653,0.35,0.4,0.375,1,1,0,0,0,0.2496,1,0,0,0,0,-20,0,1,2024
1.7674299901619595,1.7674299901619595,-8.73257000983804,1.2320246885069217,1.2320246885069217,-9.267975311493078,1.4997273393344415,1.4997273393344415,1,0.5354053016550377,-10.5,10.5,0,0,0.54,0.3,0.4,0.35,5,2,3,0,0,0.2498,1,0,0,0,0,-15,0,1,2024
3.0315464897584885,3.0315464897584885,-2.4684535102415115,3.1898427253942048,3.1898427253942048,-2.3101572746057952,3.1106946075763466,3.1106946075763466,1,0.15829623563571626,-5.5,5.5,0,0,0.52,0.35,0.35,0.35,2,1,1,0,0,0.25,1,0,0,0,0,-22,0,1,2024
-5.820871347917674,5.820871347917674,-0.3208713479176737,-8.400331723684953,8.400331723684953,-2.900331723684954,-7.1106015358013135,7.1106015358013135,1,2.5794603757672805,5.5,5.5,0,0,0.52,0.3,0.35,0.325,5,5,0,0,0,0.2502,1,0,0,0,0,2,1,0,2024
13.475421143823302,13.475421143823302,-4.0245788561766975,8.027783862121382,8.027783862121382,-9.472216137878618,10.751602502972343,10.751602502972343,1,5.447637281701921,-17.5,17.5,1,0,0.52,0.35,0.25,0.3,2,0,2,0,1,0.2504,1,0,0,0,0,7,1,0,2024
0.3448925573385484,0.3448925573385484,-4.155107442661452,-0.23222354774713594,0.23222354774713594,-4.732223547747136,0.05633450479570623,0.05633450479570623,0,0.5771161050856843,-4.5,4.5,0,0,0.52,0.25,0.3,0.275,1,1,0,0,0,0.2506,1,0,0,0,0,-4,0,0,2024
-3.9695922901417937,3.9695922901417937,0.5304077098582063,-2.98059058460647,2.98059058460647,1.5194094153935298,-3.475091437374132,3.475091437374132,1,0.9890017055353235,4.5,4.5,0,0,0.5,0.25,0.3,0.275,1,5,-4,0,0,0.2508,1,0,0,0,0,3,1,0,2024
-3.166122741441196,3.166122741441196,-4.666122741441196,-1.175062160270227,1.175062160270227,-2.675062160270227,-2.1705924508557115,2.1705924508557115,1,1.9910605811709692,-1.5,1.5,0,1,0.52,0.3,0.3,0.3,3,5,-2,0,0,0.251,1,0,0,0,1,18,0,1,2024
-0.2243487849630128,0.2243487849630128,-7.724348784963013,3.3834641143468875,3.3834641143468875,-4.1165358856531125,1.5795576646919374,1.5795576646919374,0,3.6078128993099003,-7.5,7.5,0,0,0.5,0.3,0.35,0.325,1,1,0,0,0,0.2512,1,0,0,0,1,-17,0,1,2024
-1.056648747080125,1.056648747080125,-2.556648747080125,3.0849435462347765,3.0849435462347765,1.5849435462347765,1.0141473995773258,1.0141473995773258,0,4.141592293314901,-1.5,1.5,0,1,0.48,0.35,0.3,0.325,1,2,-1,0,0,0.2514,1,0,0,0,1,6,1,0,2024
-1.8036772331462503,1.8036772331462503,-0.3036772331462503,4.427780761211115,4.427780761211115,5.927780761211115,1.3120517640324323,1.3120517640324323,0,6.231457994357365,1.5,1.5,0,1,0.5,0.35,0.4,0.375,1,5,-4,0,0,0.2516,1,0,0,1,0,-1,0,1,2024
-2.2617256521330766,2.2617256521330766,-12.761725652133077,4.281493014046559,4.281493014046559,-6.218506985953441,1.0098836809567402,1.0098836809567402,0,6.543218666179635,-10.5,10.5,0,0,0.48,0.3,0.35,0.325,1,1,0,0,0,0.2518,1,0,0,0,1,-2,1,0,2024
2.60544642732839,2.60544642732839,-10.89455357267161,0.9150095451572096,0.9150095451572096,-12.58499045484279,1.7602279862427999,1.7602279862427999,1,1.6904368821711806,-13.5,13.5,1,0,0.5,0.3,0.3,0.3,3,2,1,0,0,0.252,1,0,0,0,0,-10,1,0,2024
-2.7061118107133657,2.7061118107133657,-6.206111810713366,-2.3375218997645977,2.3375218997645977,-5.837521899764598,-2.5218168552389812,2.5218168552389812,1,0.36858991094876803,-3.5,3.5,0,1,0.5,0.25,0.3,0.275,1,1,0,0,0,0.2522,1,0,0,0,0,-15,1,0,2024
2.239105287193148,2.239105287193148,-16.260894712806852,-3.0453227313171283,3.0453227313171283,-21.54532273131713,-0.4031087220619902,0.4031087220619902,0,5.284428018510276,-18.5,18.5,1,0,0.5,0.3,0.25,0.275,0,3,-3,1,0,0.2524,1,0,0,0,0,-9,0,1,2024
10.985044344305063,10.985044344305063,5.485044344305064,12.691999271028124,12.691999271028124,7.191999271028124,11.838521807666595,11.838521807666595,1,1.7069549267230606,-5.5,5.5,0,0,0.48,0.35,0.45,0.4,1,0,1,0,1,0.2526,1,0,0,0,0,6,1,0,2024
7.904426260832201,7.904426260832201,-10.595573739167799,9.23524259211726,9.23524259211726,-9.26475740788274,8.569834426474731,8.569834426474731,1,1.3308163312850585,-18.5,18.5,1,0,0.48,0.35,0.3,0.325,1,1,0,0,0,0.2528,1,0,0,0,0,-19,0,0,2024
-4.074583586479808,4.074583586479808,6.425416413520192,-4.277066559765138,4.277066559765138,6.222933440234862,-4.175825073122473,4.175825073122473,1,0.2024829732853295,10.5,10.5,0,0,0.48,0.35,0.3,0.325,1,3,-2,0,0,0.253,1,0,0,0,0,1,1,0,2024
