game_id,season,week,simple_spread,enhanced_spread,simple_spread_edge,enhanced_spread_edge,simple_spread_edge_abs,enhanced_spread_edge_abs,avg_spread_edge,avg_spread_edge_abs,spread_agreement,spread_model_diff,vegas_spread,vegas_spread_abs,big_favorite,close_game,recent_spread_acc,home_games,away_games,combined_games,home_rest,away_rest,rest_diff,home_post_bye,away_post_bye,bye_advantage,week_normalized,early_season,mid_season,late_season,neutral_site,is_dome,is_primetime,spread_cover,actual_spread
401671858,2024,12,-3.7566893830480628,-6.446690412481859,3.7433106169519372,1.0533095875181413,3.7433106169519372,1.0533095875181413,2.3983101022350395,2.3983101022350395,1,2.690001029433796,-7.5,7.5,1,0,0.4,1.0,1.0,1.0,5,7,-2,0,0,0,0.7058823529411765,0,1,0,0,1,0,1.0,5
401671866,2024,12,2.1791246783784572,7.025333936755503,-4.320875321621543,0.5253339367555032,4.320875321621543,0.5253339367555032,-1.8977706924330198,1.8977706924330198,0,4.846209258377046,6.5,6.5,0,0,0.4,1.0,1.0,1.0,7,7,0,0,0,0,0.7058823529411765,0,1,0,0,1,0,0.0,18
401671656,2024,12,-0.9223019998767166,4.413331930714056,-6.422301999876717,-1.0866680692859436,6.422301999876717,1.0866680692859436,-3.75448503458133,3.75448503458133,1,5.335633930590773,5.5,5.5,0,0,0.3,1.0,1.0,1.0,7,7,0,0,0,0,0.7058823529411765,0,1,0,0,1,0,0.0,10
401671768,2024,12,-2.2696941910806414,-4.3103384315586375,4.230305808919359,2.1896615684413625,4.230305808919359,2.1896615684413625,3.2099836886803605,3.2099836886803605,1,2.040644240477996,-6.5,6.5,0,0,0.3,1.0,1.0,1.0,7,7,0,0,0,0,0.7058823529411765,0,1,0,0,0,0,0.0,-28
401671775,2024,12,-1.166354903709319,5.024299072215111,-2.666354903709319,3.5242990722151113,2.666354903709319,3.5242990722151113,0.4289720842528961,0.4289720842528961,0,6.19065397592443,1.5,1.5,0,1,0.3,1.0,1.0,1.0,7,14,-7,0,1,-1,0.7058823529411765,0,1,0,0,1,0,0.0,-10
401671794,2024,12,1.849348527775458,6.780355216388079,-0.650651472224542,4.280355216388079,0.650651472224542,4.280355216388079,1.8148518720817686,1.8148518720817686,0,4.931006688612621,2.5,2.5,0,1,0.3,1.0,1.0,1.0,8,10,-2,0,0,0,0.7058823529411765,0,1,0,0,1,1,1.0,17
401671689,2024,12,4.098511559143921,-0.7725460573317511,1.5985115591439207,-3.272546057331751,1.5985115591439207,3.272546057331751,-0.8370172490939152,0.8370172490939152,0,4.871057616475672,2.5,2.5,0,1,0.25,1.0,1.0,1.0,8,9,-1,0,0,0,0.7058823529411765,0,1,0,0,1,0,0.0,7
401671492,2024,13,-8.941030441004216,-12.805679186942351,1.0589695589957842,-2.805679186942351,1.0589695589957842,2.805679186942351,-0.8733548139732825,0.8733548139732825,0,3.864648745938135,-10.0,10.0,1,0,0.25,1.0,1.0,1.0,4,4,0,0,0,0,0.7647058823529411,0,0,1,0,1,1,0.0,-3
401671779,2024,13,-3.1010043447584885,-1.7285369602868088,1.3989956552415115,2.771463039713191,1.3989956552415115,2.771463039713191,2.0852293474773513,2.0852293474773513,1,1.3724673844716797,-4.5,4.5,0,0,0.25,1.0,1.0,1.0,4,4,0,0,0,0,0.7647058823529411,0,0,1,0,1,1,0.0,-7
401671798,2024,13,-6.3260847646377325,-6.467572711024641,-2.8260847646377325,-2.9675727110246406,2.8260847646377325,2.9675727110246406,-2.8968287378311866,2.8968287378311866,1,0.1414879463869081,-3.5,3.5,0,0,0.25,1.0,1.0,1.0,5,5,0,0,0,0,0.7647058823529411,0,0,1,0,0,0,1.0,-13
