game_id,season,date,games_into_season,season_progress,home_team_id,away_team_id,home_score,away_score,point_spread,total_points,home_win,attendance,home_hist_games_played,home_hist_ppg,home_hist_papg,home_hist_win_pct,home_hist_fg_pct,home_hist_three_pct,home_hist_ft_pct,home_hist_rebounds_pg,home_hist_off_rebounds_pg,home_hist_def_rebounds_pg,home_hist_assists_pg,home_hist_steals_pg,home_hist_blocks_pg,home_hist_turnovers_pg,home_hist_paint_pg,home_hist_fastbreak_pg,home_hist_bench_pg,away_hist_games_played,away_hist_ppg,away_hist_papg,away_hist_win_pct,away_hist_fg_pct,away_hist_three_pct,away_hist_ft_pct,away_hist_rebounds_pg,away_hist_off_rebounds_pg,away_hist_def_rebounds_pg,away_hist_assists_pg,away_hist_steals_pg,away_hist_blocks_pg,away_hist_turnovers_pg,away_hist_paint_pg,away_hist_fastbreak_pg,away_hist_bench_pg,home_recent_ppg,home_recent_papg,home_recent_win_pct,home_recent_games,away_recent_ppg,away_recent_papg,away_recent_win_pct,away_recent_games,home_rest_days,away_rest_days,rest_advantage,home_b2b,away_b2b,odds_opening_spread,odds_latest_spread,odds_line_movement,odds_opening_total,odds_latest_total,ppg_differential,papg_differential,win_pct_differential,fg_pct_differential,three_pct_differential,rebound_differential,assist_differential,turnover_differential,recent_ppg_diff,recent_win_pct_diff,stats_reliability,vegas_reliability,prev_season_weight,prev_season_ppg_diff,prev_season_win_pct_diff,weighted_ppg_diff,weighted_vegas_spread,blended_ppg_diff
401591889,2023,2023-10-11T02:00Z,1,0.012195121951219513,21,7,107,115,-8,222,0,0,1.0,130.0,126.0,1.0,44.0,38.0,84.0,50.0,11.0,39.0,27.0,8.0,4.0,19.0,42.0,13.0,35,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,130.0,126.0,1.0,1,110.0,110.0,0.5,0,2,7,-5,0,0,0.0,0.0,0.0,220.0,220.0,20.0,16.0,0.5,-1.0,3.0,6.0,3.0,5.0,20.0,0.5,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,1.8181818181818183,0.0,1.8181818181818183
401591890,2023,2023-10-11T02:00Z,0,0.0,22,111836,106,66,40,172,1,0,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,110.0,110.0,0.5,0,110.0,110.0,0.5,0,7,7,0,0,0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
401591891,2023,2023-10-11T23:00Z,1,0.012195121951219513,20,2,101,112,-11,213,0,0,1.0,106.0,114.0,0.0,41.0,34.0,79.0,48.0,14.0,34.0,19.0,10.0,6.0,14.0,42.0,12.0,35,2.0,110.5,110.0,0.5,43.5,31.0,77.5,49.5,14.5,35.0,19.0,7.5,4.5,16.5,45.0,10.5,35,106.0,114.0,0.0,1,110.5,110.0,0.5,2,3,1,2,0,0,0.0,0.0,0.0,220.0,220.0,-4.5,4.0,-0.5,-2.5,3.0,-1.5,0.0,-2.5,-4.5,-0.5,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,-0.4090909090909091,0.0,-0.4090909090909091
401591892,2023,2023-10-12T02:00Z,2,0.024390243902439025,13,23,109,101,8,210,1,0,2.0,118.5,125.5,0.5,44.5,37.5,67.0,47.0,9.0,38.0,23.0,9.0,6.5,16.0,45.0,15.5,35,1.0,99.0,112.0,0.0,39.0,22.0,76.0,34.0,9.0,25.0,29.0,11.0,6.0,18.0,50.0,20.0,35,118.5,125.5,0.5,2,99.0,112.0,0.0,1,2,3,-1,0,0,0.0,0.0,0.0,220.0,220.0,19.5,13.5,0.5,5.5,15.5,13.0,-6.0,-2.0,19.5,0.5,0.16666666666666666,0.8333333333333334,0.8666666666666667,0.0,0.0,3.25,0.0,3.25
401591893,2023,2023-10-12T23:00Z,1,0.012195121951219513,5,19,105,108,-3,213,0,0,1.0,107.0,108.0,0.0,47.0,27.0,74.0,40.0,4.0,36.0,30.0,13.0,6.0,18.0,50.0,24.0,35,1.0,122.0,105.0,1.0,44.0,33.0,73.0,53.0,13.0,40.0,29.0,8.0,10.0,11.0,46.0,19.0,35,107.0,108.0,0.0,1,122.0,105.0,1.0,1,1,1,0,0,0,0.0,0.0,0.0,220.0,220.0,-15.0,3.0,-1.0,3.0,-6.0,-13.0,1.0,7.0,-15.0,-1.0,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,-1.3636363636363638,0.0,-1.3636363636363638
401591894,2023,2023-10-12T23:00Z,1,0.012195121951219513,25,8,125,128,-3,253,0,0,1.0,122.0,121.0,1.0,42.0,34.0,79.0,52.0,16.0,36.0,26.0,6.0,7.0,13.0,52.0,12.0,35,1.0,126.0,130.0,0.0,49.0,31.0,62.0,49.0,10.0,39.0,33.0,10.0,6.0,16.0,50.0,16.0,35,122.0,121.0,1.0,1,126.0,130.0,0.0,1,2,4,-2,0,0,0.0,0.0,0.0,220.0,220.0,-4.0,-9.0,1.0,-7.0,3.0,3.0,-7.0,-3.0,-4.0,1.0,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,-0.36363636363636365,0.0,-0.36363636363636365
401591895,2023,2023-10-12T23:00Z,1,0.012195121951219513,27,30,98,92,6,190,1,0,1.0,145.0,82.0,1.0,59.0,45.0,82.0,48.0,8.0,40.0,32.0,18.0,8.0,15.0,64.0,28.0,35,1.0,109.0,113.0,0.0,39.0,26.0,82.0,52.0,14.0,38.0,19.0,10.0,4.0,16.0,42.0,16.0,35,145.0,82.0,1.0,1,109.0,113.0,0.0,1,2,1,1,0,0,0.0,0.0,0.0,220.0,220.0,36.0,-31.0,1.0,20.0,19.0,-4.0,13.0,-1.0,36.0,1.0,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,3.272727272727273,0.0,3.272727272727273
401591896,2023,2023-10-12T23:30Z,1,0.012195121951219513,1,29,103,102,1,205,1,0,1.0,108.0,107.0,1.0,44.0,29.0,88.0,50.0,10.0,40.0,22.0,9.0,2.0,20.0,46.0,8.0,35,2.0,117.5,112.0,1.0,44.0,25.0,83.5,48.0,9.0,39.0,27.0,9.0,11.0,16.0,61.0,12.5,35,108.0,107.0,1.0,1,117.5,112.0,1.0,2,2,1,1,0,0,0.0,0.0,0.0,220.0,220.0,-9.5,-5.0,0.0,0.0,4.0,2.0,-5.0,4.0,-9.5,0.0,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,-0.8636363636363636,0.0,-0.8636363636363636
401591897,2023,2023-10-12T23:30Z,1,0.012195121951219513,17,126689,135,103,32,238,1,0,1.0,126.0,129.0,0.0,49.0,38.0,78.0,44.0,7.0,37.0,19.0,9.0,4.0,19.0,50.0,14.0,35,0.0,110.0,110.0,0.5,45.0,35.0,75.0,44.0,10.0,34.0,24.0,7.0,5.0,14.0,48.0,12.0,35,126.0,129.0,0.0,1,110.0,110.0,0.5,0,2,7,-5,0,0,0.0,0.0,0.0,220.0,220.0,16.0,19.0,-0.5,4.0,3.0,0.0,-5.0,5.0,16.0,-0.5,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,1.4545454545454546,0.0,1.4545454545454546
401591898,2023,2023-10-13T00:00Z,1,0.012195121951219513,4,7,133,124,9,257,1,0,1.0,102.0,105.0,0.0,39.0,37.0,92.0,47.0,15.0,32.0,24.0,11.0,4.0,15.0,38.0,25.0,35,1.0,115.0,107.0,1.0,47.0,37.0,87.0,37.0,8.0,29.0,32.0,11.0,6.0,13.0,44.0,19.0,35,102.0,105.0,0.0,1,115.0,107.0,1.0,1,4,1,3,0,0,0.0,0.0,0.0,220.0,220.0,-13.0,-2.0,-1.0,-8.0,0.0,10.0,-8.0,2.0,-13.0,-1.0,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,-1.1818181818181819,0.0,-1.1818181818181819
401591899,2023,2023-10-13T00:00Z,1,0.012195121951219513,3,10,87,120,-33,207,0,0,1.0,105.0,122.0,0.0,41.0,24.0,66.0,54.0,17.0,37.0,20.0,9.0,7.0,17.0,54.0,15.0,35,1.0,122.0,103.0,1.0,47.0,40.0,72.0,56.0,14.0,42.0,23.0,10.0,5.0,9.0,58.0,15.0,35,105.0,122.0,0.0,1,122.0,103.0,1.0,1,2,2,0,0,0,0.0,0.0,0.0,220.0,220.0,-17.0,19.0,-1.0,-6.0,-16.0,-2.0,-3.0,8.0,-17.0,-1.0,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,-1.5454545454545454,0.0,-1.5454545454545454
401591900,2023,2023-10-13T02:00Z,1,0.012195121951219513,22,21,111,122,-11,233,0,0,1.0,106.0,66.0,1.0,47.0,43.0,81.0,54.0,12.0,42.0,26.0,15.0,4.0,23.0,46.0,23.0,35,2.0,118.5,120.5,0.5,45.5,39.0,79.5,44.0,9.0,35.0,28.0,7.0,5.5,17.0,43.0,10.5,35,106.0,66.0,1.0,1,118.5,120.5,0.5,2,2,2,0,0,0,0.0,0.0,0.0,220.0,220.0,-12.5,-54.5,0.5,1.5,4.0,10.0,-2.0,6.0,-12.5,0.5,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,-1.1363636363636365,0.0,-1.1363636363636365
401591901,2023,2023-10-13T23:30Z,1,0.012195121951219513,24,14,120,104,16,224,1,0,1.0,121.0,122.0,0.0,46.0,38.0,74.0,48.0,12.0,36.0,29.0,9.0,10.0,14.0,54.0,7.0,35,1.0,113.0,109.0,1.0,41.0,32.0,93.0,51.0,8.0,43.0,23.0,10.0,6.0,18.0,36.0,7.0,35,121.0,122.0,0.0,1,113.0,109.0,1.0,1,3,3,0,0,0,0.0,0.0,0.0,220.0,220.0,8.0,13.0,-1.0,5.0,6.0,-3.0,6.0,-4.0,8.0,-1.0,0.09090909090909091,0.9090909090909091,0.9333333333333333,0.0,0.0,0.7272727272727273,0.0,0.7272727272727273
401591902,2023,2023-10-14T02:00Z,3,0.036585365853658534,13,9,125,129,-4,254,0,0,3.0,115.33333333333333,117.33333333333333,0.6666666666666666,46.333333333333336,36.0,70.33333333333333,47.0,7.333333333333333,39.666666666666664,23.666666666666668,8.0,5.666666666666667,17.333333333333332,44.0,15.0,35,1.0,125.0,108.0,1.0,47.0,35.0,64.0,61.0,11.0,50.0,27.0,11.0,8.0,19.0,48.0,24.0,35,115.33333333333333,117.33333333333333,0.6666666666666666,3,125.0,108.0,1.0,1,2,6,-4,0,0,0.0,0.0,0.0,220.0,220.0,-9.666666666666671,9.333333333333329,-0.33333333333333337,-0.6666666666666643,1.0,-14.0,-3.333333333333332,-1.6666666666666679,-9.666666666666671,-0.33333333333333337,0.23076923076923078,0.7692307692307693,0.8,0.0,0.0,-2.230769230769232,0.0,-2.230769230769232
401591903,2023,2023-10-14T19:30Z,2,0.024390243902439025,1,3,110,105,5,215,1,0,2.0,105.5,104.5,1.0,44.0,33.5,73.0,45.5,8.5,37.0,25.5,12.5,3.5,20.0,42.0,15.0,35,2.0,96.0,121.0,0.0,40.0,29.5,66.5,45.0,14.5,30.5,20.5,10.5,6.5,21.0,40.0,8.0,35,105.5,104.5,1.0,2,96.0,121.0,0.0,2,1,1,0,0,0,0.0,0.0,0.0,220.0,220.0,9.5,-16.5,1.0,4.0,4.0,0.5,5.0,-1.0,9.5,1.0,0.16666666666666666,0.8333333333333334,0.8666666666666667,0.0,0.0,1.5833333333333333,0.0,1.5833333333333333
