Unnamed: 0,Spread,Total,Moneyline,Unnamed: 4,Unnamed: 5,Unnamed: 6
Auburn,3-7 ATS,4-6 O/U,4-6 SU,Create Free Account,Create Free Account,Create Free Account
Open,,,,,,
Consensus,,,,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
125 Marshall,6-3 ATS 35%,7-2 O/U 6%,5-5 SU 85%,Create Free Account,Create Free Account,Create Free Account
126 Appalachian State,4-5 ATS 65%,5-4 O/U 94%,4-6 SU 15%,Create Free Account,Create Free Account,Create Free Account
Open,MRSH -3.5,o53.5,-162,,,
Consensus,MRSH -4,o54.5,-175,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
121 UConn,6-3-1 ATS 71%,6-4 O/U 2%,8-3 SU 96%,Create Free Account,Create Free Account,Create Free Account
122 Florida Atlantic,5-4 ATS 29%,4-4-1 O/U 98%,4-6 SU 4%,Create Free Account,Create Free Account,Create Free Account
Open,UCONN -7.5,o67.5,-290,,,
Consensus,UCONN -7.5,o65.5,-290,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
179 New Mexico State,5-4 ATS 18%,3-6 O/U 20%,3-7 SU,Create Free Account,Create Free Account,Create Free Account
180 UTEP,2-7 ATS 82%,5-4 O/U 80%,2-8 SU,Create Free Account,Create Free Account,Create Free Account
Open,UTEP -2.5,o44.5,-162,,,
Consensus,UTEP -3.5,o45.5,-166,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
183 Sam Houston,3-7 ATS 94%,6-4 O/U 4%,2-8 SU,Create Free Account,Create Free Account,Create Free Account
184 Middle Tennessee,1-8 ATS 6%,5-4 O/U 96%,1-9 SU,Create Free Account,Create Free Account,Create Free Account
Open,MTSU -4.5,o54.5,-205,,,
Consensus,MTSU -7,o54.5,-258,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
185 Liberty,3-6 ATS 24%,4-5 O/U 25%,4-6 SU,Create Free Account,Create Free Account,Create Free Account
186 Louisiana Tech,5-4 ATS 76%,3-6 O/U 75%,5-5 SU,Create Free Account,Create Free Account,Create Free Account
Open,LIB -1.5,o44.5,-118,,,
Consensus,LT -1.5,o44.5,-112,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
197 South Florida,5-4 ATS 67%,6-3 O/U 8%,7-3 SU 96%,Create Free Account,Create Free Account,Create Free Account
198 UAB,3-6 ATS 33%,5-4 O/U 92%,3-7 SU 4%,Create Free Account,Create Free Account,Create Free Account
Open,USF -21.5,o69.5,-1800,,,
Consensus,USF -21,o69.5,-1800,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
145 Duke,4-5 ATS 56%,6-3 O/U 6%,5-5 SU 95%,Create Free Account,Create Free Account,Create Free Account
146 North Carolina,4-5 ATS 44%,3-6 O/U 94%,4-6 SU 5%,Create Free Account,Create Free Account,Create Free Account
Open,UNC -3.5,o51.5,-265,,,
Consensus,DUKE -6.5,o51.5,-238,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
173 Arkansas,4-5 ATS 57%,7-2 O/U,2-8 SU 1%,Create Free Account,Create Free Account,Create Free Account
