game_id,season,week,neutral_site,home_games_played,home_wins,home_losses,home_points_scored_total,home_points_allowed_total,home_points_scored_avg,home_points_allowed_avg,home_point_differential_avg,home_win_pct,home_total_yards_avg,home_passing_yards_avg,home_rushing_yards_avg,home_turnovers_avg,home_first_downs_avg,home_third_down_pct,home_penalties_avg,home_penalty_yards_avg,away_games_played,away_wins,away_losses,away_points_scored_total,away_points_allowed_total,away_points_scored_avg,away_points_allowed_avg,away_point_differential_avg,away_win_pct,away_total_yards_avg,away_passing_yards_avg,away_rushing_yards_avg,away_turnovers_avg,away_first_downs_avg,away_third_down_pct,away_penalties_avg,away_penalty_yards_avg,win_pct_diff,points_scored_diff,points_allowed_diff,point_differential_diff,yards_diff,passing_yards_diff,rushing_yards_diff,turnovers_diff,h2h_games,h2h_win_pct,home_recent_win_pct,away_recent_win_pct,recent_form_diff,home_score,away_score,home_win,point_differential,spread,total,covered_spread
401754638,2024,3,0,2,1,1,55,20,27.5,10.0,17.5,0.5,0,0,0,0,0,0,0,0,2,2,0,106,26,53.0,13.0,40.0,1.0,0,0,0,0,0,0,0,0,-0.5,-25.5,-3.0,-22.5,0,0,0,0,0,0.5,0,0,0,31,24,1,7,,,
401754639,2024,3,0,2,1,1,34,51,17.0,25.5,-8.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,17.0,25.5,-8.5,0,0,0,0,0,0.5,0,0,0,41,6,1,35,,,
401756888,2024,3,0,2,2,0,88,9,44.0,4.5,39.5,1.0,0,0,0,0,0,0,0,0,3,1,2,80,83,26.666666666666668,27.666666666666668,-1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0.6666666666666667,17.333333333333332,-23.166666666666668,40.5,0,0,0,0,0,0.5,0,0,0,23,17,1,6,,,
401756889,2024,3,0,2,1,1,58,43,29.0,21.5,7.5,0.5,0,0,0,0,0,0,0,0,2,2,0,95,63,47.5,31.5,16.0,1.0,0,0,0,0,0,0,0,0,-0.5,-18.5,-10.0,-8.5,0,0,0,0,0,0.5,0,0,0,34,15,1,19,,,
401756890,2024,3,0,2,1,1,56,80,28.0,40.0,-12.0,0.5,0,0,0,0,0,0,0,0,3,3,0,95,41,31.666666666666668,13.666666666666666,18.0,1.0,0,0,0,0,0,0,0,0,-0.5,-3.666666666666668,26.333333333333336,-30.0,0,0,0,0,0,0.5,0,0,0,16,24,0,-8,,,
401756891,2024,3,0,2,1,1,72,83,36.0,41.5,-5.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,36.0,41.5,-5.5,0,0,0,0,0,0.5,0,0,0,42,7,1,35,,,
401756892,2024,3,0,2,1,1,51,40,25.5,20.0,5.5,0.5,0,0,0,0,0,0,0,0,1,0,1,0,66,0.0,66.0,-66.0,0.0,0,0,0,0,0,0,0,0,0.5,25.5,-46.0,71.5,0,0,0,0,0,0.5,0,0,0,70,0,1,70,,,
401756893,2024,3,0,2,2,0,62,9,31.0,4.5,26.5,1.0,0,0,0,0,0,0,0,0,2,1,1,51,34,25.5,17.0,8.5,0.5,0,0,0,0,0,0,0,0,0.5,5.5,-12.5,18.0,0,0,0,0,0,0.5,0,0,0,36,20,1,16,,,
401756894,2024,3,0,1,1,0,48,14,48.0,14.0,34.0,1.0,0,0,0,0,0,0,0,0,1,0,1,7,35,7.0,35.0,-28.0,0.0,0,0,0,0,0,0,0,0,1.0,41.0,-21.0,62.0,0,0,0,0,0,0.5,0,0,0,42,21,1,21,,,
401756895,2024,3,0,2,2,0,41,7,20.5,3.5,17.0,1.0,0,0,0,0,0,0,0,0,2,2,0,106,19,53.0,9.5,43.5,1.0,0,0,0,0,0,0,0,0,0.0,-32.5,-6.0,-26.5,0,0,0,0,0,0.5,0,0,0,6,31,0,-25,,,
