team_id,off_points_per_drive,off_total_points,off_yards_per_drive,off_yards_std,off_plays_per_drive,off_plays_std,off_seconds_per_drive,off_seconds_std,off_scoring_pct,off_scoring_drives,off_total_drives,off_redzone_scoring_pct,off_redzone_attempts,off_three_and_outs,off_three_and_out_pct,off_explosive_drives,off_explosive_pct,off_home_ppd,off_away_ppd,off_dome_ppd,off_outdoor_ppd,def_points_per_drive,def_yards_per_drive,def_plays_per_drive,def_scoring_pct,def_total_drives,def_three_and_out_forced,def_redzone_stops,ppd_differential,ypd_differential,scoring_pct_differential
26,1.9432624113475176,274,27.921985815602838,32.46560177919872,5.865248226950355,3.304152923986135,154.82978723404256,111.13106531394159,0.3546099290780142,50,141,0.0,0.0,35,0.24822695035460993,78.0,0.5531914893617021,1.835164835164835,2.14,2.5555555555555554,1.9015151515151516,3.212121212121212,40.083333333333336,6.583333333333333,0.5,132,0.21212121212121213,0,-1.2688588007736943,-12.161347517730498,-0.1453900709219858
30,3.4491525423728815,407,46.59322033898305,29.929329093184325,6.3474576271186445,3.272201273363677,168.04237288135593,106.57691689495492,0.5677966101694916,67,118,0.0,0.0,20,0.1694915254237288,88.0,0.7457627118644068,4.15625,2.611111111111111,0.0,3.4491525423728815,2.277310924369748,34.0,5.8655462184873945,0.35294117647058826,119,0.29411764705882354,0,1.1718416180031337,12.593220338983052,0.2148554336989033
36,1.6031746031746033,202,28.555555555555557,27.513358371687183,5.714285714285714,3.353463028827706,143.31746031746033,90.3689903268727,0.23809523809523808,30,126,0.0,0.0,46,0.36507936507936506,60.0,0.47619047619047616,1.803030303030303,1.3833333333333333,0.0,1.6031746031746033,2.544776119402985,34.95522388059702,5.641791044776119,0.41044776119402987,134,0.26865671641791045,0,-0.9416015162283817,-6.3996683250414605,-0.1723525230987918
38,1.7737226277372262,243,26.343065693430656,29.119792631221788,5.313868613138686,3.033518207940193,137.31386861313868,90.20424144071261,0.29927007299270075,41,137,0.0,0.0,44,0.32116788321167883,65.0,0.4744525547445255,1.9883720930232558,1.411764705882353,0.0,1.7737226277372262,2.5357142857142856,34.45,5.714285714285714,0.42857142857142855,140,0.25,0,-0.7619916579770594,-8.106934306569347,-0.1293013555787278
41,2.9393939393939394,388,36.25757575757576,30.291364050879565,5.78030303030303,3.138809989748738,145.8939393939394,99.75123696458989,0.5075757575757576,67,132,0.0,0.0,34,0.25757575757575757,78.0,0.5909090909090909,3.3392857142857144,2.6447368421052633,0.0,2.9393939393939394,2.378787878787879,35.71212121212121,6.287878787878788,0.3787878787878788,132,0.26515151515151514,0,0.5606060606060606,0.5454545454545467,0.12878787878787878
47,0.6363636363636364,7,11.545454545454545,22.615762805457774,4.363636363636363,3.042128441493793,127.9090909090909,99.2274705365954,0.09090909090909091,1,11,0.0,0.0,8,0.7272727272727273,2.0,0.18181818181818182,0.0,0.6363636363636364,0.0,0.6363636363636364,5.0,49.54545454545455,6.181818181818182,0.8181818181818182,11,0.09090909090909091,0,-4.363636363636363,-38.0,-0.7272727272727273
48,2.5511811023622046,324,36.10236220472441,32.0007030293977,6.566929133858268,3.6244113943170952,157.04724409448818,109.13228162710777,0.3937007874015748,50,127,0.0,0.0,31,0.2440944881889764,79.0,0.6220472440944882,3.1052631578947367,2.1,0.0,2.5511811023622046,2.96,36.856,6.032,0.48,125,0.216,0,-0.40881889763779533,-0.7536377952755942,-0.08629921259842516
50,1.8461538461538463,24,22.76923076923077,32.76215765725717,5.076923076923077,3.593084525899218,139.46153846153845,100.29424658192461,0.23076923076923078,3,13,0.0,0.0,6,0.46153846153846156,4.0,0.3076923076923077,0.0,1.8461538461538463,0.0,1.8461538461538463,4.0,47.916666666666664,6.75,0.6666666666666666,12,0.25,0,-2.1538461538461537,-25.147435897435894,-0.43589743589743585
52,3.2231404958677685,390,43.40495867768595,28.57171635038069,6.56198347107438,3.4227001085484914,158.22314049586777,102.15433484058211,0.49586776859504134,60,121,0.0,0.0,19,0.15702479338842976,88.0,0.7272727272727273,4.053333333333334,1.8695652173913044,0.0,3.2231404958677685,1.795275590551181,27.055118110236222,5.7637795275590555,0.2992125984251969,127,0.3700787401574803,0,1.4278649053165875,16.349840567449725,0.19665517016984446
55,2.529850746268657,339,34.701492537313435,28.132882815309628,5.992537313432836,3.284724885555137,149.82089552238807,92.07890133669311,0.41044776119402987,55,134,0.0,0.0,33,0.2462686567164179,82.0,0.6119402985074627,3.2708333333333335,2.116279069767442,0.0,2.529850746268657,2.201492537313433,32.88059701492537,5.7611940298507465,0.34328358208955223,134,0.30597014925373134,0,0.32835820895522394,1.8208955223880636,0.06716417910447764
57,1.824,228,28.432,27.576092965208222,5.696,3.205901815653889,154.32,106.66170519375133,0.328,41,125,0.0,0.0,38,0.304,68.0,0.544,2.3636363636363638,1.2203389830508475,0.0,1.824,2.131782945736434,30.635658914728683,5.829457364341085,0.3643410852713178,129,0.34108527131782945,0,-0.30778294573643383,-2.2036589147286847,-0.0363410852713178
